N,1m,2m,3m,4m,5m,6m,7m,8m,9m,1p,2p,3p,4p,5p,6p,7p,8p,9p,1s,2s,3s,4s,5s,6s,7s,8s,9s,東,南,西,北,白,発,中
25,1.0029,1.6017,1.3358,0.4846,1.3686,0.5502,1.3358,1.3174,1.0053,1.3358,0.5517,0.988,0.5201,0.5021,1.3358,0.9418,0.5179,0.9977,1.3358,1.6017,1.3358,1.6017,0.0,0.922,1.351,1.0104,1.3678,1.3238,0.0,1.3358,1.0112,1.0132,0.9915,1.3626
24,0.9837,1.5242,0.8716,0.4799,1.3246,0.5455,1.2921,1.2738,0.9861,1.2921,0.5471,0.9688,0.5154,0.4975,1.2921,0.9227,0.5132,0.9785,1.2921,1.5242,1.2921,1.5242,0.0,0.903,1.3071,0.9912,1.3238,1.2802,0.0,1.2921,0.992,0.994,0.9723,1.3187
23,0.9631,1.4425,0.8514,0.4749,1.2777,0.5406,1.2454,1.2273,0.9655,1.2454,0.5421,0.9483,0.5104,0.4925,1.2454,0.9022,0.5082,0.9579,1.2454,1.4425,1.2454,1.4425,0.0,0.8826,1.2603,0.9706,0.8622,1.2336,0.0,1.2454,0.9714,0.9734,0.9517,1.2718
22,0.941,1.3567,0.8298,0.4695,1.2277,0.5352,1.1958,1.1779,0.9434,1.1958,0.5368,0.9262,0.505,0.4871,1.1958,0.8803,0.5029,0.9358,1.1958,1.0349,1.1958,1.3567,0.0,0.8608,1.2105,0.9485,0.8406,1.1842,0.0,1.1958,0.9493,0.9513,0.9296,1.2219
21,0.9173,1.2671,0.8068,0.4638,1.1745,0.5295,1.1432,1.1256,0.9197,1.1432,0.531,0.9025,0.4992,0.4813,1.1432,0.8569,0.4971,0.9121,1.1432,0.9855,1.1432,1.2671,0.0,0.8375,0.7842,0.9248,0.8174,1.1317,0.0,1.1432,0.9256,0.9276,0.906,1.1688
20,0.8919,0.8995,0.7822,0.4576,1.1183,0.5233,1.0875,1.0703,0.8942,1.0875,0.5248,0.8772,0.493,0.4751,1.0875,0.8319,0.4909,0.8867,1.0875,0.9336,1.0875,1.1742,0.0,0.8126,0.7599,0.8993,0.7928,1.0763,0.0,1.0875,0.9001,0.9021,0.8806,1.1127
19,0.8647,0.8465,0.7561,0.451,1.0588,0.5166,1.0288,1.012,0.867,1.0288,0.5181,0.8501,0.4863,0.4684,1.0288,0.8052,0.4842,0.8595,1.0288,0.8794,1.0288,0.8283,0.0,0.7861,0.734,0.8721,0.7665,1.0179,0.0,1.0288,0.8728,0.8748,0.8535,1.0534
18,0.4253,0.7914,0.7282,0.4439,0.9963,0.5094,0.9672,0.951,0.8379,0.9672,0.5109,0.8211,0.4791,0.4613,0.9672,0.7767,0.477,0.8304,0.9672,0.823,0.9672,0.774,0.0,0.7579,0.7066,0.8429,0.7385,0.9566,0.0,0.9672,0.8436,0.8456,0.8245,0.991
17,0.4177,0.7345,0.6987,0.4362,0.9309,0.5016,0.9028,0.8872,0.8067,0.9028,0.5032,0.7901,0.4714,0.4536,0.9028,0.7463,0.4692,0.7994,0.9028,0.7646,0.9028,0.7179,0.0,0.7278,0.6774,0.8116,0.7088,0.6101,0.0,0.9028,0.8124,0.8144,0.7935,0.9258
16,0.4095,0.676,0.6674,0.428,0.8627,0.4932,0.8359,0.8209,0.7734,0.8359,0.4948,0.7571,0.463,0.4453,0.8359,0.714,0.4609,0.7662,0.8359,0.7045,0.8359,0.6604,0.0,0.6959,0.6466,0.7783,0.3467,0.581,0.0,0.8359,0.7791,0.781,0.7604,0.8578
15,0.4008,0.6163,0.6342,0.4191,0.7922,0.4841,0.7668,0.7526,0.7379,0.7668,0.4857,0.7219,0.454,0.4363,0.7668,0.6798,0.4518,0.7308,0.7668,0.4431,0.7668,0.6017,0.0,0.662,0.614,0.7427,0.3386,0.5504,0.0,0.7668,0.7435,0.7453,0.7251,0.7875
14,0.3913,0.5559,0.5992,0.4095,0.7197,0.4743,0.6959,0.6826,0.7001,0.6959,0.4758,0.6845,0.4442,0.4266,0.6959,0.6434,0.4421,0.6932,0.6959,0.4154,0.6959,0.5424,0.0,0.6262,0.5797,0.7048,0.3298,0.5182,0.0,0.6959,0.7055,0.7074,0.3535,0.7153
13,0.3812,0.4952,0.5624,0.3992,0.6459,0.4636,0.6238,0.6116,0.66,0.6238,0.4651,0.6448,0.4337,0.4161,0.6238,0.605,0.4315,0.6533,0.6238,0.3867,0.6238,0.4829,0.0,0.5884,0.5435,0.6645,0.3204,0.4846,0.0,0.6238,0.6653,0.3439,0.3437,0.6418
12,0.3702,0.4349,0.5237,0.388,0.5714,0.452,0.5513,0.5402,0.6175,0.5513,0.4535,0.6028,0.4222,0.4048,0.3846,0.5646,0.4201,0.611,0.5513,0.3571,0.5513,0.4239,0.0,0.5486,0.5057,0.6219,0.3103,0.4496,0.0,0.5513,0.6226,0.3334,0.3333,0.5678
11,0.3583,0.3758,0.4833,0.3759,0.3489,0.4393,0.4793,0.4693,0.5726,0.4793,0.4408,0.5586,0.4097,0.3925,0.3523,0.5221,0.4076,0.5664,0.4793,0.3267,0.4793,0.366,0.0,0.5069,0.4662,0.5768,0.2994,0.4133,0.0,0.4793,0.5775,0.3221,0.322,0.494
10,0.3454,0.3184,0.4412,0.3627,0.3161,0.4254,0.4086,0.3999,0.5255,0.4086,0.427,0.5122,0.3962,0.3791,0.3192,0.4777,0.3941,0.5196,0.4086,0.2956,0.4086,0.31,0.0,0.4634,0.4252,0.5295,0.2877,0.3758,0.0,0.4086,0.5301,0.31,0.3098,0.298
9,0.3315,0.2638,0.3977,0.3485,0.2827,0.4103,0.3405,0.3331,0.2508,0.3405,0.4118,0.4638,0.3813,0.3646,0.2856,0.4316,0.3793,0.4707,0.3405,0.264,0.3405,0.2567,0.0,0.4183,0.3829,0.4799,0.2751,0.3374,0.0,0.3405,0.4805,0.2968,0.2966,0.2662
